Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,0.0,1.0,718.0,718.0,359.0,359.0,0.0,,,1.0,0.03062748908996582,,,,,,,,,,,,,,,,,,,,,-0.1478077297272406,2.6598714773708987,9.884102400000657,-9.079648800004467,,,,
2,358.0,0.0,0.0,1436.0,1436.0,359.0,718.0,0.0,25.2666100000107,25.2666100000107,1.0,18.013453722000122,,,,,,,,,2204.547612025085,2629.4196521340236,12861.2060546875,558.984619140625,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,113980.48,120859.37,551791.1,0.92241794,0.20903720991930858,1.965977100086151,9.600000000000705,-9.205087398004887,1.065155500521264,3.3048655163380825,10.000000003183493,-10.000000000026366
3,717.0,0.0,0.0,2154.0,2154.0,359.0,1077.0,0.0,-38.278700000003255,-38.278700000003255,1.0,32.84383511543274,,,,,,,,,652.3861302210632,120.7218683107547,1966.098876953125,622.8994140625,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,8753.628,27909.21,167369.88,0.81720775,-0.30631528376046524,2.140549053405634,5.049598883997141,-12.014759999997295,0.017411653314401383,0.5259485420954689,6.844355658962149,-6.931728829077114
4,1076.0,0.0,0.0,2872.0,2872.0,359.0,1436.0,0.0,67.30260999998961,67.30260999998961,1.0,48.210962533950806,,,,,,,,,633.8641486993715,42.81781293062081,1174.372314453125,622.4935302734375,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,4456.3535,18570.342,135535.45,0.78195924,0.5568119274678806,2.463504466344091,5.90321994000062,-11.814749999997389,0.04405577683820079,0.43480328840831933,7.0149653115040564,-7.424526907272229
5,1435.0,0.0,0.0,3590.0,3590.0,359.0,1795.0,0.0,161.2668899999734,161.2668899999734,0.0,63.8608832359314,,,,,,,,,630.2326453864241,28.96360890178725,996.856689453125,611.6528930664062,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,2524.9863,14163.418,123821.18,0.78896326,1.334202757629306,1.3741102435483723,6.6535200000025725,-0.9620500000020229,0.08308304922422331,0.14933949319804057,3.4115221311178487,-3.0369661844439824
6,1794.0,0.0,0.0,4308.0,4308.0,359.0,2154.0,0.0,174.78773999999896,174.78773999999896,1.0,79.27482843399048,,,,,,,,,633.2275862880259,55.27273518440772,1233.969482421875,619.6329345703125,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,2822.0989,18081.688,190482.12,0.7718131,1.4466102690083393,2.3568746275183963,8.591293170000059,-5.0075429720021045,0.152607275521869,0.3947584337586193,4.720078558436274,-9.043350438056075
7,2153.0,0.0,0.0,5026.0,5026.0,359.0,2513.0,0.0,84.06118999998216,84.06118999998216,1.0,94.99520182609558,,,,,,,,,629.1683160366292,47.155637724143446,1288.7283935546875,604.948974609375,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,1248.5947,12206.202,176264.06,0.9225506,0.6970980513062576,2.4287964536563837,7.718250000000353,-17.05112999999858,0.3001946009948936,0.46977450005113663,9.690743638070401,-5.194969528769823
8,2512.0,0.0,0.0,5744.0,5744.0,359.0,2872.0,0.0,-6.062240000018505,-6.062240000018505,1.0,110.45221614837646,,,,,,,,,627.8663558533738,28.473290581739278,974.4171752929688,608.8594970703125,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,1868.4618,14002.657,157896.55,1.1823132,-0.05015448196115589,1.6071791491283827,8.664499999998611,-7.9999999999990905,0.4833666003746826,0.4809722977142032,9.225565620892283,-2.4608103113236206
9,2871.0,0.0,0.0,6462.0,6462.0,359.0,3231.0,0.0,25.21065999998882,25.21065999998882,1.0,127.34605264663696,,,,,,,,,623.0353379915547,10.640395562607532,763.5601806640625,617.0940551757812,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,626.6833,7457.9287,104966.875,1.2524334,0.20857432107511645,1.4525380198280036,12.038959999995654,-6.356479999997532,0.791560267446902,0.4569861758349246,9.175297282359818,-1.9141072514776085
10,3230.0,0.0,0.0,7180.0,7180.0,359.0,3590.0,0.0,87.42916000001014,87.42916000001014,0.0,145.36905670166016,,,,,,,,,617.1603151459934,12.739495928655426,813.8995361328125,575.4208984375,0.00025000000000000006,5.421010862427522e-20,0.00025,0.00025,938.3876,8796.365,113899.45,1.734498,0.723324089459694,4.14212699704344,40.09400000000005,-6.270619999996029,1.3753506036127103,0.73732163743138,9.596223438615688,-2.5953075286828375
11,3590.0,0.0,0.0,7898.0,7898.0,359.0,3949.0,0.0,,,0.0,185.46210622787476,,,,,,,,,,,,,,,,,,,,,,,,,2.8738127772393787,0.8617795914185465,9.59999395933378,1.8972025937300458
