Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,0.0,1.0,17278.0,17278.0,8639.0,8639.0,0.0,,,1.0,0.025571823120117188,,,,,,,,,,,,,,,,,,,,,0.05269119330445837,2.1714818437542838,24.65364399999771,-28.01557621800129,,,,
2,8638.0,0.0,0.0,34556.0,34556.0,8639.0,17278.0,0.0,91.08836999999482,91.08836999999482,1.0,3657.9267225265503,,,,,,,,,602.3418177688362,672.6626526687661,23024.015625,545.499267578125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,2081.1306,37877.59,1198638.6,0.8602012,0.03131630602349631,0.311086674722036,5.996099999999387,-4.197270000000913,4.0756961099386215,1.7915765056953155,10.000000000724537,-10.0
3,17277.0,0.0,0.0,51834.0,51834.0,8639.0,25917.0,0.0,232.02355000001558,232.02355000001558,1.0,7351.220100402832,,,,,,,,,574.6684057540876,5.313484335978269,589.7076416015625,551.6575927734375,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,23.166855,12.514481,133.69127,3.8564422,0.07977001341070104,1.5467256530950484,34.88556000000119,-37.81444000000215,4.444070708528996,0.36232319786209477,5.575915901176632,3.33411245411262
4,25916.0,0.0,0.0,65536.0,65536.0,8639.0,34556.0,0.0,202.96483000000524,202.96483000000524,1.0,11025.059472560883,,,,,,,,,580.6427727549351,2.4903334601086904,588.9585571289062,573.04931640625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,49.235508,14.107364,153.45308,18.310108,0.0697795857834258,0.6219179698236921,15.519549999997025,-5.3519199999968805,3.491587650309382,0.3146469192263121,4.493606511200779,2.317009718903628
5,34555.0,0.0,0.0,65536.0,65536.0,8639.0,43195.0,0.0,113.42036000001644,113.42036000001644,0.0,14735.92112493515,,,,,,,,,579.983886464378,2.250979551290459,588.513916015625,573.0806884765625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,77.6131,17.599852,174.7642,30.482918,0.038994074688742775,0.8579954777929395,24.791039999999043,-25.989600000000564,3.3370820113736643,0.31789391355151997,4.124623788803001,2.295381551795349
6,43195.0,0.0,0.0,65536.0,65536.0,8639.0,51834.0,0.0,,,0.0,18591.5002887249,,,,,,,,,,,,,,,,,,,,,,,,,2.678692015169179,0.24384383256904416,3.0122182693987885,2.135641803276558
7,51833.0,0.0,0.0,65536.0,65536.0,8639.0,60473.0,0.0,433.1713399999826,433.1713399999826,1.0,22246.704359531403,0.0,0.0,0.0,,,,,,579.3533577023626,3.5578693636821193,591.2169189453125,567.5026245117188,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,127.7425,27.776419,345.85464,55.217506,0.1489248983602209,1.1663559166291364,25.309499999994387,-13.635864000002238,2.7559318583905985,0.2843085490967487,3.3556549064611327,1.5535546995798037
8,60472.0,0.0,0.0,65536.0,65536.0,8639.0,69112.0,0.0,603.2277699999003,603.2277699999003,1.0,25914.09142780304,,,,,,,,,570.6954994493128,6.796987151161958,590.2236328125,550.88525390625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,154.4354,35.021114,465.5535,58.124474,0.20739053127407175,0.6380651000877186,9.376119999998423,-2.509980000001292,2.703820673389527,0.3196224939872713,3.538898831373081,1.557166937656707
9,69111.0,0.0,0.0,65536.0,65536.0,8639.0,77751.0,0.0,284.45979000001114,284.45979000001114,1.0,29560.699014902115,,,,,,,,,559.4516058690185,4.039147000848029,572.9928588867188,547.0952758789062,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,172.01497,40.860195,658.8533,73.20158,0.09779766434529842,1.9926545485031069,17.595599999999877,-91.61724000000277,3.027367973751485,0.3571485540734128,3.8796497040326368,1.7729044649051509
10,77750.0,0.0,0.0,65536.0,65536.0,8639.0,86390.0,0.0,318.5824799999705,318.5824799999705,0.0,33165.20871090889,,,,,,,,,535.5187784818953,9.03237806021557,560.6820068359375,511.5606384277344,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,191.5074,48.912376,603.89874,81.62044,0.10884838799026658,0.6888875504322342,14.31599136000357,-5.179799999999432,3.2467231960463816,0.3073518620267073,4.098490433921325,2.385913282533875
